Age,Sleep Start Time,Sleep End Time,Total Sleep Hours,Sleep Quality,Exercise (mins/day),Caffeine Intake (mg),Screen Time Before Bed (mins),Work Hours (hrs/day),Mood Score,Stress Level,Year,Month,Day,Gender_Male,Gender_Other,Productivity Class
46,20.6,2.11,5.51,3,84,164,4,5.885533968519998,4,9,2024,11,15,0.0,1.0,1
42,23.12,5.81,6.7,3,37,22,62,8.021763120739834,1,1,2024,8,24,0.0,0.0,1
57,22.83,5.49,6.66,3,6,178,41,5.114176581307098,4,7,2024,11,4,0.0,1.0,0
54,22.53,3.2,4.67,6,65,9,4,11.014125094093997,6,6,2024,6,5,0.0,1.0,0
41,20.12,1.37,5.25,4,75,172,129,4.097624578544356,3,4,2024,6,7,0.0,1.0,0
44,23.17,8.46,9.3,8,37,133,22,7.696046429153061,8,2,2024,10,18,1.0,0.0,1
29,23.6,7.64,8.04,10,30,50,28,4.833975728414476,6,7,2024,4,20,1.0,0.0,1
38,21.58,2.71,5.12,9,0,54,114,8.730203485959434,9,5,2024,9,13,0.0,0.0,0
43,22.85,6.04,7.19,6,1,209,161,11.347637799514407,6,8,2024,5,16,1.0,0.0,0
23,23.53,5.85,6.31,6,25,155,113,9.308298976133685,1,4,2024,1,25,1.0,0.0,1
37,21.45,4.63,7.18,8,48,256,140,7.178544923660783,8,3,2024,12,26,0.0,0.0,0
47,20.73,3.12,6.39,8,18,17,0,10.204220933560084,2,6,2024,11,13,1.0,0.0,0
21,23.47,4.34,4.88,3,31,265,109,8.21262773327435,7,7,2024,4,22,1.0,0.0,0
46,20.9,2.67,5.77,7,58,254,71,4.832868655876591,3,3,2024,10,14,1.0,0.0,0
25,22.52,7.96,9.44,8,45,164,141,6.345181842088106,7,10,2024,4,6,0.0,0.0,0
38,23.3,6.72,7.42,2,1,196,147,6.686926857198681,3,7,2024,9,19,0.0,1.0,0
37,20.62,4.99,8.37,9,52,279,80,10.947743807183302,7,1,2024,4,28,1.0,0.0,1
26,20.4,2.19,5.79,6,21,234,3,5.058209689002643,7,5,2024,4,24,0.0,0.0,0
35,21.58,4.57,6.99,2,16,164,152,7.979719151839125,5,10,2024,3,15,1.0,0.0,1
48,22.65,4.4,5.75,9,52,172,144,7.350164199136585,2,6,2024,12,7,0.0,0.0,1
53,21.47,3.91,6.45,8,10,163,112,9.772262888975243,3,6,2024,12,28,0.0,1.0,1
41,21.07,3.99,6.92,10,35,238,147,5.296111023132677,1,2,2024,4,7,0.0,0.0,0
19,20.13,2.39,6.26,1,88,60,170,8.786288466145237,7,3,2024,7,19,1.0,0.0,1
47,21.18,3.49,6.3,1,60,16,73,9.524481859565125,8,3,2024,5,10,0.0,0.0,0
34,20.88,4.57,7.69,8,24,88,11,5.769675534556818,9,10,2024,9,20,0.0,1.0,1
33,20.37,3.65,7.28,6,6,269,78,9.57936213797472,3,8,2024,2,16,0.0,1.0,1
35,21.85,6.57,8.72,2,58,102,16,9.201338803545823,3,2,2024,11,10,0.0,1.0,1
43,22.72,6.08,7.36,8,3,209,160,11.087821985889498,2,7,2024,5,10,0.0,1.0,1
51,22.9,4.33,5.43,2,31,95,122,11.9834728842667,1,5,2024,8,14,0.0,0.0,0
27,20.63,3.75,7.11,1,48,2,172,6.836977261126212,4,2,2024,8,23,0.0,0.0,0
18,21.23,3.87,6.64,1,87,139,36,10.290760115324415,7,8,2024,10,19,1.0,0.0,0
30,20.1,5.56,9.46,8,19,62,53,8.861894359030874,2,9,2024,11,14,0.0,0.0,1
20,20.07,3.72,7.65,7,48,8,98,8.778192579442727,10,3,2024,8,5,0.0,0.0,0
41,23.57,5.19,5.62,8,88,67,141,10.88101453134339,8,3,2024,6,26,0.0,1.0,1
42,23.68,8.23,8.55,8,24,260,138,4.695894079291281,6,8,2024,5,2,0.0,0.0,1
43,21.6,3.2,5.6,5,76,80,113,7.961172216111795,10,3,2024,9,7,0.0,0.0,0
44,20.53,5.43,8.89,3,79,167,91,10.804653832753935,9,5,2024,2,25,1.0,0.0,1
44,23.1,8.01,8.91,10,30,22,169,5.030958939787562,7,2,2024,6,18,0.0,0.0,0
46,21.52,2.44,4.92,1,16,222,97,9.07204562479689,3,6,2024,12,21,0.0,1.0,1
49,22.45,6.11,7.66,5,21,195,147,9.503085778406508,4,1,2024,3,14,0.0,0.0,0
18,21.92,2.65,4.73,2,13,191,174,11.751022842285533,3,4,2024,1,12,0.0,0.0,0
28,21.77,4.71,6.94,3,74,57,25,5.271506266214052,4,1,2024,1,7,1.0,0.0,0
58,22.9,7.53,8.63,4,31,129,174,9.443994416597704,3,1,2024,4,8,0.0,1.0,0
38,23.6,7.29,7.69,6,18,256,57,11.152793629433075,3,1,2024,8,23,0.0,1.0,0
29,22.72,5.58,6.87,8,59,144,92,10.212774822333934,4,7,2024,10,7,0.0,0.0,0
41,22.32,6.8,8.48,9,77,272,125,9.48452229783177,9,6,2024,12,14,0.0,0.0,0
19,23.2,4.45,5.25,5,17,94,165,6.333300629674426,1,6,2024,11,14,0.0,1.0,1
41,20.18,5.62,9.43,6,85,91,147,6.7681325411587165,2,1,2024,9,23,1.0,0.0,1
50,20.48,1.15,4.67,4,25,102,165,8.540326786092464,2,2,2024,1,2,1.0,0.0,1
57,20.03,5.01,8.98,9,5,72,102,8.903553398924847,2,8,2024,4,15,0.0,1.0,1
37,22.97,5.89,6.92,4,79,21,153,7.847230651591879,10,2,2024,11,23,0.0,0.0,1
36,21.58,5.8,8.22,7,52,182,31,7.985565731625112,6,2,2024,1,12,0.0,1.0,0
54,22.03,2.94,4.91,3,34,92,96,10.723619250215467,5,10,2024,7,29,1.0,0.0,0
54,23.98,4.68,4.7,1,50,95,104,7.508923353516724,2,4,2024,1,24,0.0,0.0,0
29,20.28,3.94,7.66,1,25,7,99,11.272260165325129,10,2,2024,3,6,0.0,1.0,1
31,20.32,3.78,7.46,6,16,27,65,10.863890031381649,1,8,2024,10,19,0.0,1.0,0
48,21.03,3.74,6.71,10,9,256,132,5.989714180701039,9,6,2024,6,12,0.0,1.0,0
54,20.18,3.06,6.87,1,43,155,110,10.946170244106067,2,2,2024,10,10,0.0,1.0,0
46,22.57,5.33,6.76,5,58,160,178,4.332582872403137,4,5,2024,10,19,1.0,0.0,1
51,21.47,6.31,8.84,8,42,177,150,9.334914060368837,7,4,2024,8,29,1.0,0.0,0
59,23.82,5.26,5.44,7,7,156,95,5.876490346678629,2,1,2024,12,1,0.0,1.0,0
43,21.48,4.47,6.99,1,25,135,46,8.564877973110637,9,4,2024,11,6,0.0,1.0,1
36,23.22,5.69,6.47,5,89,219,62,11.817393473770538,9,9,2024,10,15,0.0,1.0,1
58,23.55,6.07,6.52,4,18,81,140,10.382509190869076,1,8,2024,9,1,0.0,1.0,0
42,22.0,4.33,6.33,7,14,92,160,5.90035304699462,3,6,2024,11,5,1.0,0.0,0
25,21.15,5.45,8.3,9,2,84,25,11.61182847732793,6,5,2024,9,23,0.0,0.0,0
42,21.78,5.18,7.4,4,14,42,175,8.395313907443626,5,7,2024,8,8,1.0,0.0,0
32,23.17,5.57,6.4,4,20,140,18,4.811366627593732,5,4,2024,4,16,1.0,0.0,0
45,23.25,4.2,4.95,2,1,76,131,10.58539212476528,10,7,2024,1,27,0.0,1.0,1
59,21.92,7.23,9.31,4,6,171,119,8.211993553230247,6,6,2024,6,7,1.0,0.0,1
45,21.13,4.87,7.73,8,41,71,151,6.827371034421745,5,4,2024,10,3,1.0,0.0,1
36,21.4,2.38,4.98,4,73,241,68,5.344113661958907,2,1,2024,2,19,0.0,1.0,0
54,22.45,3.98,5.53,10,72,77,76,8.755810681489384,2,3,2024,4,28,0.0,1.0,1
56,20.17,5.62,9.46,3,67,217,101,8.627095336051273,4,8,2024,9,19,1.0,0.0,1
20,23.53,5.17,5.63,9,67,268,48,10.654904906011376,5,8,2024,8,16,1.0,0.0,0
20,23.95,6.12,6.17,6,1,214,171,9.294713518795028,3,2,2024,8,17,0.0,0.0,0
25,23.95,9.24,9.29,9,54,207,105,4.773411597173757,7,1,2024,10,12,0.0,0.0,1
20,20.37,2.86,6.5,8,4,247,107,5.949253728510933,4,6,2024,5,15,0.0,0.0,0
50,23.18,7.59,8.41,2,13,291,150,6.104900559286743,9,5,2024,8,18,1.0,0.0,0
28,23.37,8.58,9.21,2,54,261,162,10.290207654056756,5,4,2024,9,14,0.0,1.0,0
59,21.73,4.14,6.4,8,29,133,66,10.320243490456493,9,5,2024,1,12,0.0,0.0,0
44,22.28,7.57,9.29,2,9,24,24,7.834835521102814,4,1,2024,6,11,0.0,0.0,0
20,20.08,1.32,5.23,5,7,24,78,11.70492089271339,2,6,2024,4,19,0.0,1.0,0
19,22.5,3.31,4.81,3,33,265,88,4.465310364043806,8,9,2024,6,8,0.0,1.0,0
45,21.83,3.22,5.39,1,3,259,102,5.831156838772909,7,4,2024,3,23,0.0,0.0,0
55,21.6,6.53,8.93,3,6,154,91,7.853078772278899,5,6,2024,8,8,0.0,1.0,1
44,21.62,3.42,5.8,10,86,64,12,4.096966197151146,5,5,2024,5,12,1.0,0.0,0
49,22.8,6.04,7.24,5,51,255,116,7.9059290961742255,2,4,2024,12,3,1.0,0.0,0
57,20.47,2.94,6.47,6,41,20,41,11.136677511521874,1,8,2024,4,21,0.0,1.0,1
46,21.82,2.51,4.69,8,20,283,33,7.090791278786524,8,1,2024,5,8,1.0,0.0,0
40,22.07,6.25,8.19,1,86,100,7,4.333383204819074,7,1,2024,3,19,1.0,0.0,1
52,20.32,4.5,8.19,10,30,227,138,11.76599966136536,7,3,2024,4,18,1.0,0.0,0
22,21.88,6.21,8.32,10,37,110,111,11.742880278760245,8,9,2024,1,28,1.0,0.0,1
32,22.8,4.58,5.78,4,77,104,168,11.678612144607431,2,10,2024,11,24,0.0,0.0,1
29,23.02,6.53,7.51,5,31,287,31,9.251828858652022,1,8,2024,5,28,0.0,1.0,1
57,21.98,4.43,6.44,2,21,212,171,5.5797639188794985,8,5,2024,7,1,0.0,1.0,0
56,23.67,6.89,7.22,5,12,148,125,10.735988423120492,7,7,2024,5,1,1.0,0.0,1
39,20.35,3.55,7.2,2,1,28,179,10.54228263885556,7,8,2024,8,23,0.0,1.0,0
39,20.53,3.58,7.04,6,18,22,156,4.750055365164453,5,8,2024,2,13,0.0,1.0,1
33,23.07,7.97,8.91,4,63,9,148,9.864570368237398,2,9,2024,12,27,1.0,0.0,1
26,21.42,6.12,8.7,1,77,13,120,11.664587840955042,4,3,2024,4,21,0.0,0.0,1
23,20.95,3.29,6.34,4,19,23,153,7.132205585422635,6,8,2024,8,10,0.0,1.0,0
37,22.1,5.0,6.9,3,87,228,79,5.803510043709551,4,8,2024,12,24,1.0,0.0,0
47,22.5,3.11,4.61,3,48,210,149,9.563325186624423,6,5,2024,9,10,0.0,0.0,1
53,22.8,5.47,6.67,2,62,115,112,8.785802352509911,6,1,2024,12,21,0.0,0.0,1
37,22.23,4.78,6.55,7,8,89,143,5.6234909405992175,10,2,2024,7,16,0.0,1.0,0
47,21.73,5.72,7.99,3,18,34,45,5.804330639405861,5,4,2024,9,15,0.0,0.0,0
22,21.05,1.8,4.75,7,34,128,23,9.836065829219171,9,6,2024,2,18,0.0,0.0,0
48,23.33,4.18,4.84,10,29,219,134,5.975830392575999,10,6,2024,6,22,1.0,0.0,1
30,23.13,6.07,6.94,8,83,249,106,5.113962968940761,2,1,2024,4,15,0.0,0.0,0
28,23.1,5.57,6.47,10,13,164,57,11.836406723054054,3,7,2024,1,7,0.0,1.0,0
41,22.83,8.19,9.36,9,60,160,177,9.760064317304906,9,7,2024,8,5,1.0,0.0,1
50,23.55,6.07,6.52,9,38,85,176,8.348305738741168,6,2,2024,3,26,1.0,0.0,0
39,21.15,3.96,6.81,3,38,85,75,4.498184847055085,6,10,2024,3,5,1.0,0.0,1
49,20.32,3.54,7.22,4,85,142,119,5.010030262340908,4,9,2024,4,8,0.0,1.0,0
45,20.02,0.84,4.83,3,71,43,96,7.125826924908906,6,7,2024,6,16,0.0,0.0,0
36,22.17,3.69,5.52,10,7,296,163,6.211533524667169,7,9,2024,10,5,1.0,0.0,1
57,21.98,5.96,7.98,2,6,258,26,6.215235899022471,6,1,2024,2,16,0.0,0.0,1
25,23.98,8.59,8.6,5,3,245,18,11.05933094725871,1,7,2024,8,7,1.0,0.0,1
30,23.45,8.36,8.91,7,26,24,130,8.219196976981411,4,2,2024,1,21,0.0,0.0,1
52,23.47,5.45,5.98,6,49,133,59,6.514800905469987,9,5,2024,6,2,1.0,0.0,0
45,21.78,5.84,8.06,8,89,189,160,5.918992902047558,2,9,2024,8,3,0.0,0.0,0
28,22.78,6.17,7.39,1,68,107,138,10.749898611253794,1,4,2024,11,2,1.0,0.0,0
19,23.92,4.76,4.85,7,69,200,147,5.817436456188119,7,7,2024,9,28,0.0,1.0,1
42,21.23,2.8,5.56,3,56,116,45,10.073989864486744,1,7,2024,5,7,0.0,1.0,0
30,21.83,6.87,9.04,7,58,90,97,7.576444350451403,4,5,2024,12,20,0.0,1.0,0
31,23.8,4.51,4.71,8,13,153,101,6.240298636403916,3,3,2024,11,23,0.0,1.0,1
45,22.22,6.35,8.13,7,18,119,165,4.961977812093405,8,1,2024,10,1,1.0,0.0,0
50,21.17,2.04,4.87,9,58,221,40,4.385142687826828,8,2,2024,10,12,1.0,0.0,0
39,23.9,7.06,7.16,1,47,157,11,8.662454680667917,5,5,2024,12,26,1.0,0.0,0
50,20.13,5.18,9.05,4,34,215,64,4.201135666218182,8,6,2024,11,20,1.0,0.0,1
32,22.42,3.74,5.32,6,20,37,19,10.310418111242877,4,7,2024,3,16,1.0,0.0,0
39,22.35,4.16,5.81,8,33,256,71,9.07283225101065,6,9,2024,12,13,1.0,0.0,0
29,21.43,2.63,5.2,10,64,92,108,7.85632846489666,3,4,2024,7,28,0.0,0.0,1
30,21.8,2.34,4.54,8,42,89,38,10.420685436638504,10,6,2024,11,7,1.0,0.0,0
41,20.67,5.26,8.59,5,50,58,166,8.598236434115321,3,1,2024,8,20,1.0,0.0,1
29,20.73,4.27,7.54,1,44,89,102,11.632265020680324,8,9,2024,6,16,1.0,0.0,0
40,20.77,1.56,4.8,4,81,145,67,7.070711064359836,2,5,2024,12,12,0.0,0.0,0
45,20.18,1.08,4.9,9,38,257,28,9.42935965338052,3,10,2024,5,26,1.0,0.0,0
26,22.45,3.81,5.36,6,26,116,1,8.23993218341135,8,2,2024,7,28,1.0,0.0,0
29,22.0,2.92,4.92,10,84,61,48,5.728410920093498,7,8,2024,3,21,0.0,1.0,1
38,22.28,4.8,6.52,7,72,121,29,7.571356131212657,3,3,2024,10,20,0.0,0.0,0
32,22.37,4.46,6.09,10,56,117,99,7.14379380276233,7,2,2024,6,4,1.0,0.0,1
21,23.0,5.23,6.23,4,18,156,145,9.095218539637946,1,6,2024,6,4,1.0,0.0,0
25,23.85,7.25,7.4,6,64,30,131,5.338877865109024,5,8,2024,3,4,0.0,0.0,0
20,20.05,1.05,5.0,6,63,233,50,4.186816770625487,10,5,2024,12,9,0.0,1.0,0
54,23.6,6.47,6.87,6,67,273,112,4.7056136303189655,1,6,2024,5,1,0.0,0.0,0
58,20.55,1.89,5.34,5,86,41,97,6.074679178536756,10,1,2024,3,8,1.0,0.0,0
38,22.05,4.29,6.24,8,12,110,97,7.911182654339611,1,3,2024,12,6,0.0,1.0,0
57,20.38,3.99,7.6,5,84,7,27,10.820462255212428,4,6,2024,9,8,0.0,0.0,0
44,21.17,3.43,6.27,6,20,245,138,8.394579835225393,1,8,2024,5,26,1.0,0.0,0
29,20.83,3.65,6.81,4,69,182,101,8.179553163243716,7,9,2024,1,20,0.0,0.0,1
31,21.45,6.09,8.64,4,6,162,47,11.968983597115528,4,1,2024,8,29,0.0,1.0,1
25,22.62,4.4,5.78,5,12,188,30,9.872238100714451,6,6,2024,12,2,0.0,1.0,0
27,23.33,5.63,6.29,2,40,151,34,5.685639710937625,3,3,2024,6,19,0.0,0.0,1
57,21.1,1.82,4.72,4,24,36,0,4.552236327102797,8,5,2024,9,20,0.0,1.0,1
26,20.58,4.58,8.0,8,22,264,33,4.6211946773728405,6,3,2024,7,6,0.0,1.0,0
31,20.52,1.38,4.86,3,15,65,167,4.90345314148809,10,6,2024,3,12,1.0,0.0,0
19,20.92,2.89,5.98,2,38,214,119,7.240821556220531,7,5,2024,7,6,0.0,0.0,0
34,21.87,2.54,4.67,3,52,274,56,10.076891429598373,7,7,2024,10,21,1.0,0.0,0
27,23.12,6.39,7.27,4,31,13,177,9.711621060052718,5,8,2024,2,1,0.0,0.0,0
21,22.37,6.47,8.1,7,30,289,81,10.59022472080932,1,9,2024,11,30,1.0,0.0,1
46,21.52,4.98,7.47,1,86,87,49,7.735743999708886,5,9,2024,8,28,0.0,0.0,0
45,20.0,1.15,5.15,9,26,161,171,8.574473308857229,3,3,2024,11,15,0.0,1.0,0
29,20.27,4.2,7.94,10,28,216,119,9.406781971714691,5,5,2024,6,25,0.0,1.0,1
28,23.77,8.99,9.22,9,20,210,139,11.995729985725044,5,6,2024,8,22,1.0,0.0,0
58,22.78,4.33,5.54,3,70,12,140,7.326380005499601,9,9,2024,10,30,0.0,1.0,0
39,23.73,8.0,8.27,2,8,215,7,9.213118083818213,3,6,2024,6,14,1.0,0.0,0
57,21.0,5.95,8.95,3,12,48,117,10.256122679463738,5,10,2024,5,28,0.0,0.0,0
55,21.27,2.39,5.12,10,34,110,101,8.24750142729675,4,8,2024,2,15,0.0,0.0,0
43,20.32,3.09,6.77,1,57,282,169,10.161265694056768,2,5,2024,1,29,0.0,0.0,1
49,20.53,4.73,8.2,7,56,125,11,4.010829005723745,4,7,2024,5,13,1.0,0.0,0
26,23.53,7.06,7.53,8,71,44,58,6.423325830665541,9,2,2024,8,15,0.0,1.0,0
32,23.42,6.83,7.41,8,8,118,132,8.245898842294686,2,6,2024,8,13,0.0,1.0,0
43,21.93,5.55,7.61,10,44,266,103,11.251367711315496,1,4,2024,8,20,0.0,1.0,0
48,21.82,5.77,7.95,2,4,83,51,5.842007365684117,6,1,2024,4,11,1.0,0.0,1
38,20.08,1.96,5.87,6,61,209,77,8.37261713625836,6,8,2024,8,13,0.0,0.0,0
50,23.17,7.63,8.47,6,40,271,67,11.61143848289466,10,9,2024,8,22,1.0,0.0,1
54,21.3,2.68,5.38,6,81,153,133,5.520861198269821,2,1,2024,11,27,1.0,0.0,0
33,21.9,4.36,6.46,10,7,93,64,7.665877203142671,4,8,2024,4,16,0.0,0.0,0
46,23.13,7.81,8.68,4,27,254,170,4.368453873519651,8,2,2024,8,29,0.0,0.0,1
39,22.93,5.45,6.51,10,8,247,154,11.638775944307746,9,7,2024,2,24,1.0,0.0,0
47,22.8,5.52,6.72,10,77,16,17,11.93953831499823,5,2,2024,8,28,0.0,1.0,0
18,21.73,7.11,9.37,7,9,202,40,4.31143970660534,1,1,2024,11,19,0.0,0.0,1
58,23.07,7.16,8.1,8,50,148,98,6.610707447455898,3,7,2024,10,4,1.0,0.0,0
57,20.22,4.62,8.4,10,83,241,115,5.635687088437694,9,3,2024,10,29,1.0,0.0,1
45,20.43,1.28,4.85,3,36,194,110,10.487028648063347,4,2,2024,4,21,0.0,0.0,1
20,20.8,4.0,7.2,8,22,68,94,5.0229344097793405,9,9,2024,1,24,0.0,0.0,1
54,21.65,3.28,5.63,6,84,211,2,11.061875045387376,4,6,2024,7,6,1.0,0.0,0
22,22.95,4.96,6.01,5,24,111,154,6.171508621073602,6,4,2024,8,26,1.0,0.0,1
38,20.12,3.92,7.81,7,30,201,31,5.338570432008483,1,10,2024,2,8,0.0,0.0,1
21,20.97,5.26,8.3,6,64,190,50,6.9542461617243285,8,2,2024,8,1,0.0,1.0,1
49,22.08,7.19,9.1,7,38,125,56,6.192572714737528,9,6,2024,4,13,0.0,1.0,1
20,22.8,6.94,8.14,7,63,64,80,7.044141678959156,4,2,2024,9,18,1.0,0.0,0
52,21.53,6.88,9.35,7,3,215,58,8.008703042097576,9,1,2024,12,4,0.0,0.0,0
22,23.08,4.18,5.09,3,18,203,79,5.0537202286327485,9,4,2024,6,16,0.0,1.0,1
40,23.35,7.21,7.86,5,71,6,118,8.573967865149989,3,3,2024,4,4,0.0,0.0,1
33,20.18,2.12,5.94,5,26,139,144,11.479955454710122,9,5,2024,7,28,1.0,0.0,0
50,21.78,3.95,6.17,6,68,46,166,11.555588661554427,6,7,2024,4,27,0.0,0.0,0
36,20.92,6.37,9.45,8,81,201,104,11.84294992753748,10,1,2024,3,19,0.0,0.0,1
22,20.07,1.52,5.45,4,40,218,176,7.180899028422965,10,2,2024,11,17,0.0,0.0,0
19,21.35,2.57,5.22,7,38,218,156,11.404177662815048,9,6,2024,12,10,0.0,0.0,0
19,20.55,4.57,8.02,6,78,282,9,7.605491799511305,9,4,2024,5,27,0.0,0.0,0
19,23.0,4.09,5.09,9,9,78,58,9.89228182667834,8,6,2024,2,28,1.0,0.0,0
47,20.45,4.09,7.64,4,6,136,163,11.517212090348066,4,9,2024,12,21,1.0,0.0,1
